2023,9,29,w,200.5
2023,9,29,c,2000.0
2023,9,29,f,Yogurt (4oz),1.0
2023,9,29,f,Questionable Meal,1.0
2023,9,29,f,Yogurt (4oz),1.0
2023,9,30,f,Yogurt (4oz),2.0
2023,9,30,f,PB+J Sandwich,1.0
2023,9,30,f,Cola (can),1.0
2023,9,30,f,Pizza Slice,1.5
2023,9,30,f,Cola (can),1.0
2023,9,30,f,Yogurt (4oz),1.0
2023,11,6,f,Pizza Slice,4.0
2023,11,17,e,Gardening,45.0
2023,11,17,e,Bicycling (14-16 mph),30.0
2023,11,17,f,PB+J Sandwich,1.0
2023,11,17,f,Cola (can),1.0
2023,11,17,f,Pizza Slice,1.5
2023,12,28,f,Berry Pie Slice,1.0
2023,12,28,f,Cola (can),1.0
2023,12,28,e,Bicycling (14-16 mph),30.0
